data,produto,categoria,regiao,canal_venda,quantidade,preco_unitario,desconto_percentual,receita_bruta,receita_liquida
2023-06-29,Monitor,Eletrônicos,Sudeste,Online,2,1100,0.0,2200,2200.0
2023-04-13,Notebook,Eletrônicos,Sul,Loja Física,3,3500,0.0,10500,10500.0
2023-12-09,Mouse,Eletrônicos,Nordeste,Loja Física,4,120,0.1,480,432.0
2023-03-27,Curso Online,Educação,Nordeste,Online,2,500,0.0,1000,1000.0
2023-10-24,Notebook,Eletrônicos,Centro-Oeste,Loja Física,5,3500,0.15,17500,14875.0
2023-04-12,Mouse,Eletrônicos,Nordeste,Marketplace,4,120,0.0,480,480.0
2023-11-04,Mouse,Eletrônicos,Norte,Loja Física,1,120,0.05,120,114.0
2023-12-05,Cadeira Gamer,Móveis,Nordeste,Online,2,950,0.15,1900,1615.0
2023-08-04,Armário,Móveis,Nordeste,Marketplace,2,1800,0.1,3600,3240.0
2023-08-24,Webcam,Eletrônicos,Sul,Marketplace,3,420,0.1,1260,1134.0
2023-09-25,Fone Bluetooth,Eletrônicos,Norte,Loja Física,5,350,0.15,1750,1487.5
2023-08-27,Mesa Escritório,Móveis,Sul,Online,5,1400,0.05,7000,6650.0
2023-05-23,Armário,Móveis,Norte,Marketplace,4,1800,0.1,7200,6480.0
2023-12-09,Mesa Escritório,Móveis,Centro-Oeste,Loja Física,6,1400,0.0,8400,8400.0
2023-04-04,Armário,Móveis,Nordeste,Loja Física,4,1800,0.05,7200,6840.0
2023-05-24,Curso Online,Educação,Sudeste,Marketplace,5,500,0.15,2500,2125.0
2023-04-08,Mouse,Eletrônicos,Centro-Oeste,Marketplace,4,120,0.1,480,432.0
2023-05-04,Webcam,Eletrônicos,Centro-Oeste,Online,8,420,0.1,3360,3024.0
2023-02-17,Smartphone,Eletrônicos,Sul,Loja Física,4,2800,0.1,11200,10080.0
2023-12-06,Curso Online,Educação,Norte,Marketplace,6,500,0.1,3000,2700.0
2023-06-26,Mesa Escritório,Móveis,Centro-Oeste,Loja Física,6,1400,0.05,8400,7980.0
2023-06-06,Smartphone,Eletrônicos,Sul,Loja Física,4,2800,0.0,11200,11200.0
2023-03-03,Webcam,Eletrônicos,Sul,Marketplace,3,420,0.0,1260,1260.0
2023-09-05,Smartphone,Eletrônicos,Sul,Loja Física,5,2800,0.0,14000,14000.0
2023-04-27,Cadeira Gamer,Móveis,Sudeste,Marketplace,3,950,0.05,2850,2707.5
2023-10-01,Teclado,Eletrônicos,Sudeste,Marketplace,5,250,0.0,1250,1250.0
2023-05-30,Webcam,Eletrônicos,Sudeste,Online,3,420,0.1,1260,1134.0
2023-10-21,Smartphone,Eletrônicos,Centro-Oeste,Loja Física,8,2800,0.1,22400,20160.0
2023-04-05,Notebook,Eletrônicos,Sudeste,Online,5,3500,0.1,17500,15750.0
2023-07-25,Armário,Móveis,Sudeste,Online,2,1800,0.15,3600,3060.0
2023-03-18,Curso Online,Educação,Sul,Online,5,500,0.0,2500,2500.0
2023-10-13,Mesa Escritório,Móveis,Centro-Oeste,Loja Física,4,1400,0.15,5600,4760.0
2023-08-15,Smartphone,Eletrônicos,Norte,Marketplace,7,2800,0.05,19600,18620.0
2023-01-31,Curso Online,Educação,Sul,Loja Física,2,500,0.0,1000,1000.0
2023-12-05,Mouse,Eletrônicos,Sul,Marketplace,3,120,0.0,360,360.0
2023-02-08,Teclado,Eletrônicos,Centro-Oeste,Marketplace,1,250,0.1,250,225.0
2023-11-01,Armário,Móveis,Sul,Loja Física,5,1800,0.0,9000,9000.0
2023-12-28,Smartphone,Eletrônicos,Sul,Loja Física,8,2800,0.0,22400,22400.0
2023-11-17,Curso Online,Educação,Sudeste,Marketplace,4,500,0.1,2000,1800.0
2023-04-26,Fone Bluetooth,Eletrônicos,Sul,Online,3,350,0.05,1050,997.5
2023-01-31,Teclado,Eletrônicos,Norte,Loja Física,5,250,0.15,1250,1062.5
2023-08-13,Mouse,Eletrônicos,Centro-Oeste,Loja Física,8,120,0.05,960,912.0
2023-09-14,Livro Técnico,Livros,Sudeste,Marketplace,8,200,0.1,1600,1440.0
2023-01-21,Mesa Escritório,Móveis,Nordeste,Online,6,1400,0.15,8400,7140.0
2023-02-16,Monitor,Eletrônicos,Norte,Online,1,1100,0.05,1100,1045.0
2023-03-31,Armário,Móveis,Sul,Marketplace,8,1800,0.05,14400,13680.0
2023-08-12,Fone Bluetooth,Eletrônicos,Centro-Oeste,Loja Física,8,350,0.0,2800,2800.0
2023-07-29,Cadeira Gamer,Móveis,Sul,Loja Física,6,950,0.0,5700,5700.0
2023-07-30,Webcam,Eletrônicos,Centro-Oeste,Marketplace,8,420,0.05,3360,3192.0
2023-01-19,Armário,Móveis,Nordeste,Loja Física,2,1800,0.05,3600,3420.0
2023-03-01,Mesa Escritório,Móveis,Centro-Oeste,Loja Física,1,1400,0.15,1400,1190.0
2023-01-28,Monitor,Eletrônicos,Centro-Oeste,Marketplace,6,1100,0.15,6600,5610.0
2023-08-15,Notebook,Eletrônicos,Norte,Online,4,3500,0.05,14000,13300.0
2023-05-28,Armário,Móveis,Sudeste,Marketplace,8,1800,0.0,14400,14400.0
2023-11-08,Monitor,Eletrônicos,Norte,Online,3,1100,0.05,3300,3135.0
2023-10-10,Mesa Escritório,Móveis,Sudeste,Loja Física,2,1400,0.0,2800,2800.0
2023-03-02,Fone Bluetooth,Eletrônicos,Nordeste,Marketplace,3,350,0.1,1050,945.0
2023-12-28,Smartphone,Eletrônicos,Centro-Oeste,Online,7,2800,0.1,19600,17640.0
2023-08-22,Livro Técnico,Livros,Sul,Marketplace,3,200,0.1,600,540.0
2023-09-18,Webcam,Eletrônicos,Nordeste,Loja Física,3,420,0.0,1260,1260.0
2023-06-24,Livro Técnico,Livros,Nordeste,Marketplace,5,200,0.0,1000,1000.0
2023-06-02,Curso Online,Educação,Centro-Oeste,Marketplace,8,500,0.0,4000,4000.0
2023-09-05,Cadeira Gamer,Móveis,Norte,Loja Física,6,950,0.15,5700,4845.0
2023-08-22,Cadeira Gamer,Móveis,Norte,Loja Física,4,950,0.0,3800,3800.0
2023-04-30,Mesa Escritório,Móveis,Centro-Oeste,Marketplace,1,1400,0.05,1400,1330.0
2023-07-15,Mesa Escritório,Móveis,Sudeste,Online,3,1400,0.1,4200,3780.0
2023-09-15,Curso Online,Educação,Centro-Oeste,Online,6,500,0.0,3000,3000.0
2023-09-27,Armário,Móveis,Centro-Oeste,Marketplace,1,1800,0.0,1800,1800.0
2023-03-21,Mouse,Eletrônicos,Nordeste,Marketplace,8,120,0.05,960,912.0
2023-12-21,Mesa Escritório,Móveis,Norte,Loja Física,2,1400,0.05,2800,2660.0
2023-06-12,Fone Bluetooth,Eletrônicos,Sudeste,Marketplace,8,350,0.15,2800,2380.0
2023-02-05,Monitor,Eletrônicos,Sudeste,Loja Física,5,1100,0.0,5500,5500.0
2023-02-20,Fone Bluetooth,Eletrônicos,Sul,Marketplace,2,350,0.1,700,630.0
2023-06-03,Notebook,Eletrônicos,Sudeste,Loja Física,1,3500,0.05,3500,3325.0
2023-07-03,Cadeira Gamer,Móveis,Sul,Marketplace,7,950,0.0,6650,6650.0
2023-07-30,Curso Online,Educação,Sul,Online,3,500,0.0,1500,1500.0
2023-11-09,Mesa Escritório,Móveis,Norte,Online,4,1400,0.1,5600,5040.0
2023-04-29,Armário,Móveis,Nordeste,Marketplace,5,1800,0.1,9000,8100.0
2023-01-05,Armário,Móveis,Sul,Online,5,1800,0.15,9000,7650.0
2023-08-15,Cadeira Gamer,Móveis,Nordeste,Loja Física,5,950,0.1,4750,4275.0
2023-06-04,Monitor,Eletrônicos,Sudeste,Online,7,1100,0.1,7700,6930.0
2023-07-15,Curso Online,Educação,Nordeste,Marketplace,6,500,0.15,3000,2550.0
2023-06-01,Notebook,Eletrônicos,Sudeste,Marketplace,7,3500,0.05,24500,23275.0
2023-12-18,Webcam,Eletrônicos,Centro-Oeste,Loja Física,1,420,0.15,420,357.0
2023-04-28,Curso Online,Educação,Sul,Marketplace,6,500,0.0,3000,3000.0
2023-05-09,Fone Bluetooth,Eletrônicos,Sudeste,Loja Física,3,350,0.0,1050,1050.0
2023-08-14,Notebook,Eletrônicos,Sudeste,Loja Física,6,3500,0.0,21000,21000.0
2023-06-17,Webcam,Eletrônicos,Sul,Online,7,420,0.0,2940,2940.0
2023-10-04,Cadeira Gamer,Móveis,Nordeste,Loja Física,5,950,0.0,4750,4750.0
2023-06-01,Webcam,Eletrônicos,Centro-Oeste,Online,6,420,0.0,2520,2520.0
2023-03-14,Monitor,Eletrônicos,Nordeste,Online,7,1100,0.15,7700,6545.0
2023-07-22,Notebook,Eletrônicos,Sudeste,Loja Física,5,3500,0.15,17500,14875.0
2023-07-08,Fone Bluetooth,Eletrônicos,Centro-Oeste,Marketplace,5,350,0.15,1750,1487.5
2023-07-10,Mouse,Eletrônicos,Sudeste,Marketplace,4,120,0.1,480,432.0
2023-10-15,Cadeira Gamer,Móveis,Centro-Oeste,Marketplace,4,950,0.0,3800,3800.0
2023-06-04,Fone Bluetooth,Eletrônicos,Sul,Online,7,350,0.0,2450,2450.0
2023-01-20,Smartphone,Eletrônicos,Sudeste,Online,8,2800,0.0,22400,22400.0
2023-10-03,Teclado,Eletrônicos,Nordeste,Marketplace,7,250,0.1,1750,1575.0
2023-12-23,Livro Técnico,Livros,Sul,Loja Física,7,200,0.15,1400,1190.0
2023-12-02,Mouse,Eletrônicos,Centro-Oeste,Loja Física,8,120,0.15,960,816.0
2023-01-17,Webcam,Eletrônicos,Centro-Oeste,Loja Física,6,420,0.0,2520,2520.0
2023-05-01,Cadeira Gamer,Móveis,Norte,Marketplace,2,950,0.05,1900,1805.0
2023-07-03,Notebook,Eletrônicos,Sul,Online,7,3500,0.05,24500,23275.0
2023-08-21,Mouse,Eletrônicos,Sudeste,Online,4,120,0.15,480,408.0
2023-06-20,Monitor,Eletrônicos,Sul,Online,3,1100,0.15,3300,2805.0
2023-10-11,Monitor,Eletrônicos,Nordeste,Online,4,1100,0.0,4400,4400.0
2023-11-02,Notebook,Eletrônicos,Sul,Marketplace,5,3500,0.0,17500,17500.0
2023-05-09,Teclado,Eletrônicos,Sul,Online,2,250,0.0,500,500.0
2023-07-03,Monitor,Eletrônicos,Sul,Loja Física,6,1100,0.0,6600,6600.0
2023-01-27,Teclado,Eletrônicos,Sudeste,Marketplace,7,250,0.15,1750,1487.5
2023-02-02,Armário,Móveis,Norte,Marketplace,8,1800,0.05,14400,13680.0
2023-02-25,Armário,Móveis,Sudeste,Marketplace,4,1800,0.15,7200,6120.0
2023-12-04,Livro Técnico,Livros,Sudeste,Online,5,200,0.1,1000,900.0
2023-09-03,Mesa Escritório,Móveis,Centro-Oeste,Marketplace,7,1400,0.0,9800,9800.0
2023-08-16,Mouse,Eletrônicos,Norte,Online,2,120,0.05,240,228.0
2023-02-03,Teclado,Eletrônicos,Norte,Marketplace,5,250,0.15,1250,1062.5
2023-12-31,Cadeira Gamer,Móveis,Norte,Loja Física,7,950,0.15,6650,5652.5
2023-08-21,Livro Técnico,Livros,Sudeste,Marketplace,7,200,0.0,1400,1400.0
2023-11-30,Livro Técnico,Livros,Centro-Oeste,Online,4,200,0.1,800,720.0
2023-07-31,Cadeira Gamer,Móveis,Centro-Oeste,Marketplace,8,950,0.1,7600,6840.0
2023-02-18,Cadeira Gamer,Móveis,Nordeste,Loja Física,7,950,0.05,6650,6317.5
2023-03-20,Fone Bluetooth,Eletrônicos,Sudeste,Online,8,350,0.0,2800,2800.0
2023-02-17,Mesa Escritório,Móveis,Sul,Marketplace,2,1400,0.05,2800,2660.0
2023-01-31,Curso Online,Educação,Centro-Oeste,Loja Física,6,500,0.0,3000,3000.0
2023-12-07,Mesa Escritório,Móveis,Norte,Loja Física,1,1400,0.05,1400,1330.0
2023-06-30,Mouse,Eletrônicos,Centro-Oeste,Online,4,120,0.0,480,480.0
2023-02-25,Cadeira Gamer,Móveis,Nordeste,Marketplace,6,950,0.0,5700,5700.0
2023-04-26,Mesa Escritório,Móveis,Nordeste,Online,1,1400,0.15,1400,1190.0
2023-04-03,Smartphone,Eletrônicos,Nordeste,Online,5,2800,0.05,14000,13300.0
2023-04-03,Teclado,Eletrônicos,Sul,Marketplace,7,250,0.0,1750,1750.0
2023-11-21,Notebook,Eletrônicos,Sul,Loja Física,2,3500,0.15,7000,5950.0
2023-08-03,Armário,Móveis,Nordeste,Loja Física,6,1800,0.0,10800,10800.0
2023-06-16,Curso Online,Educação,Sul,Online,2,500,0.0,1000,1000.0
2023-11-13,Notebook,Eletrônicos,Centro-Oeste,Marketplace,2,3500,0.05,7000,6650.0
2023-08-06,Armário,Móveis,Nordeste,Online,8,1800,0.1,14400,12960.0
2023-09-20,Mouse,Eletrônicos,Sudeste,Loja Física,6,120,0.1,720,648.0
2023-12-14,Fone Bluetooth,Eletrônicos,Nordeste,Online,8,350,0.15,2800,2380.0
2023-04-23,Mesa Escritório,Móveis,Sul,Loja Física,1,1400,0.0,1400,1400.0
2023-04-19,Teclado,Eletrônicos,Nordeste,Online,5,250,0.05,1250,1187.5
2023-01-04,Armário,Móveis,Sul,Loja Física,7,1800,0.0,12600,12600.0
2023-09-30,Webcam,Eletrônicos,Norte,Marketplace,4,420,0.15,1680,1428.0
2023-07-01,Mouse,Eletrônicos,Centro-Oeste,Online,7,120,0.0,840,840.0
2023-08-24,Mouse,Eletrônicos,Centro-Oeste,Marketplace,6,120,0.15,720,612.0
2023-07-27,Webcam,Eletrônicos,Sudeste,Loja Física,7,420,0.05,2940,2793.0
2023-01-11,Cadeira Gamer,Móveis,Centro-Oeste,Marketplace,3,950,0.15,2850,2422.5
2023-07-05,Mouse,Eletrônicos,Sul,Loja Física,7,120,0.0,840,840.0
2023-10-29,Mesa Escritório,Móveis,Nordeste,Marketplace,2,1400,0.1,2800,2520.0
2023-06-23,Monitor,Eletrônicos,Sudeste,Marketplace,6,1100,0.0,6600,6600.0
2023-11-21,Mouse,Eletrônicos,Nordeste,Marketplace,4,120,0.05,480,456.0
2023-11-27,Teclado,Eletrônicos,Sul,Loja Física,4,250,0.0,1000,1000.0
2023-04-12,Teclado,Eletrônicos,Sul,Marketplace,3,250,0.0,750,750.0
2023-09-10,Armário,Móveis,Norte,Loja Física,8,1800,0.15,14400,12240.0
2023-11-18,Cadeira Gamer,Móveis,Sudeste,Loja Física,3,950,0.1,2850,2565.0
2023-08-15,Fone Bluetooth,Eletrônicos,Norte,Online,5,350,0.05,1750,1662.5
2023-06-30,Livro Técnico,Livros,Centro-Oeste,Loja Física,2,200,0.05,400,380.0
2023-01-20,Notebook,Eletrônicos,Sudeste,Marketplace,6,3500,0.05,21000,19950.0
2023-02-16,Curso Online,Educação,Norte,Marketplace,7,500,0.1,3500,3150.0
2023-01-22,Armário,Móveis,Norte,Loja Física,4,1800,0.05,7200,6840.0
2023-09-14,Teclado,Eletrônicos,Sudeste,Loja Física,1,250,0.1,250,225.0
2023-02-13,Livro Técnico,Livros,Sul,Marketplace,3,200,0.0,600,600.0
2023-08-13,Armário,Móveis,Nordeste,Loja Física,3,1800,0.05,5400,5130.0
2023-07-18,Mesa Escritório,Móveis,Sudeste,Marketplace,6,1400,0.15,8400,7140.0
2023-11-28,Cadeira Gamer,Móveis,Sudeste,Marketplace,2,950,0.05,1900,1805.0
2023-12-14,Mesa Escritório,Móveis,Norte,Online,5,1400,0.05,7000,6650.0
2023-06-20,Mouse,Eletrônicos,Nordeste,Marketplace,3,120,0.05,360,342.0
2023-12-24,Fone Bluetooth,Eletrônicos,Norte,Marketplace,7,350,0.0,2450,2450.0
2023-02-13,Smartphone,Eletrônicos,Sul,Marketplace,7,2800,0.05,19600,18620.0
2023-12-26,Webcam,Eletrônicos,Norte,Loja Física,2,420,0.1,840,756.0
2023-01-10,Cadeira Gamer,Móveis,Sul,Loja Física,5,950,0.0,4750,4750.0
2023-09-06,Monitor,Eletrônicos,Sul,Online,4,1100,0.0,4400,4400.0
2023-06-01,Mouse,Eletrônicos,Norte,Online,1,120,0.05,120,114.0
2023-11-02,Mesa Escritório,Móveis,Sul,Marketplace,3,1400,0.0,4200,4200.0
2023-11-16,Teclado,Eletrônicos,Centro-Oeste,Loja Física,8,250,0.0,2000,2000.0
2023-12-13,Webcam,Eletrônicos,Norte,Loja Física,4,420,0.1,1680,1512.0
2023-08-18,Monitor,Eletrônicos,Centro-Oeste,Online,4,1100,0.05,4400,4180.0
2023-07-08,Fone Bluetooth,Eletrônicos,Nordeste,Loja Física,8,350,0.1,2800,2520.0
2023-09-15,Livro Técnico,Livros,Sul,Marketplace,7,200,0.0,1400,1400.0
2023-03-12,Smartphone,Eletrônicos,Nordeste,Marketplace,1,2800,0.1,2800,2520.0
2023-02-22,Webcam,Eletrônicos,Sudeste,Online,2,420,0.05,840,798.0
2023-05-20,Armário,Móveis,Sudeste,Online,3,1800,0.1,5400,4860.0
2023-08-19,Cadeira Gamer,Móveis,Sudeste,Loja Física,1,950,0.1,950,855.0
2023-09-15,Cadeira Gamer,Móveis,Sudeste,Loja Física,4,950,0.1,3800,3420.0
2023-04-25,Notebook,Eletrônicos,Nordeste,Online,6,3500,0.0,21000,21000.0
2023-03-12,Notebook,Eletrônicos,Sul,Marketplace,5,3500,0.1,17500,15750.0
2023-08-29,Armário,Móveis,Sudeste,Loja Física,1,1800,0.0,1800,1800.0
2023-04-21,Teclado,Eletrônicos,Nordeste,Online,7,250,0.0,1750,1750.0
